Obj1,Obj2
26.4,0.0
24.0,0.050543478260869565
26.4,0.0
23.5,0.0951086956521739
22.7,0.16938405797101447
23.8,0.07681159420289854
25.0,0.012333333333333332
24.9,0.020333333333333335
26.4,0.0
26.4,0.0
24.3,0.03333333333333333
25.5,0.0037037037037037034
25.1,0.00787037037037037
26.4,0.0
24.0,0.050543478260869565
24.2,0.0375
25.4,0.004
23.9,0.07247826086956521
24.6,0.029710144927536236
23.3,0.10932147562582346
24.8,0.0245
24.7,0.025376811594202898
22.9,0.14265480895915678
22.6,0.16997694334650856
22.4,0.1970849802371541
23.0,0.13302042160737812
21.7,0.264558629776021
20.6,0.41386598908338035
22.1,0.2209462638810465
21.0,0.3612890922959573
22.0,0.23480143045360435
22.8,0.15785573122529645
21.5,0.28683135704874835
23.6,0.09039855072463768
21.2,0.32765261308739574
22.2,0.21510210803689062
22.3,0.20451486918878223
21.9,0.24697628458498025
23.1,0.11862648221343874
21.4,0.31490683229813665
20.8,0.3795802747976661
21.6,0.2812252964426877
23.7,0.08568840579710144
20.3,0.5103306452599763
22.5,0.18512845849802367
21.1,0.33439393939393935
21.3,0.32195783430909286
20.5,0.47672555895668023
20.7,0.3922631007884744
