Obj1,Obj2
23.5,0.1355734989648033
26.0,0.0038461538461538464
25.6,0.015705128205128205
23.8,0.11692028985507245
22.4,0.2658941276115189
22.8,0.22481959345002825
24.2,0.0890072463768116
24.1,0.09268840579710144
25.7,0.015396011396011397
24.3,0.0865
24.8,0.05219230769230769
25.2,0.028205128205128206
26.7,0.0
23.0,0.18654084321475628
25.0,0.040499999999999994
25.4,0.016666666666666666
22.9,0.20990099755317146
25.9,0.004
24.6,0.062083612040133775
24.5,0.07104347826086957
22.2,0.2715564652738566
24.9,0.04521014492753622
25.1,0.03266666666666666
24.0,0.09856982872200262
23.3,0.1569169960474308
23.6,0.13257180500658758
23.7,0.12084584980237154
23.9,0.09925296442687748
23.1,0.1804413702239789
22.1,0.33054372921764225
25.3,0.024037037037037037
24.4,0.07829208472686734
21.9,0.344701055999683
24.7,0.060116904834296124
22.5,0.23232721626199887
