Obj1,Obj2
21.3,0.3380605664358524
25.6,0.00787037037037037
25.5,0.011858974358974358
25.5,0.011858974358974358
21.4,0.3216252587991718
25.0,0.024833333333333332
21.2,0.35481616590884324
22.0,0.2506249566604257
22.5,0.1974472990777339
22.4,0.20858036890645587
23.5,0.10996376811594202
24.0,0.07320289855072465
22.2,0.2247200263504611
23.0,0.1547760210803689
22.1,0.24001889605436513
25.2,0.023907407407407405
24.2,0.05875362318840579
20.9,0.3706784748432346
23.4,0.11773715415019761
22.8,0.16427865612648218
26.2,0.0
21.8,0.2679131375870506
21.5,0.3083323922454357
24.5,0.033710144927536226
24.5,0.033710144927536226
26.0,0.0038461538461538464
21.6,0.2894828722002635
22.3,0.21258234519104083
21.9,0.25730707698099003
21.7,0.2873588368153585
22.6,0.19323122529644268
23.7,0.0908596837944664
23.6,0.1068840579710145
24.1,0.06305797101449276
23.8,0.08858695652173912
24.3,0.05472463768115941
23.9,0.07626811594202898
24.9,0.033012820512820513
20.0,0.5336034255599473
20.2,0.4874642138944199
20.3,0.48701127819548873
25.3,0.02033333333333333
23.2,0.13442499529456048
25.4,0.0125
23.3,0.12616930171277996
22.7,0.1843939393939394
23.1,0.14100790513833988
25.7,0.004166666666666667
20.4,0.4848838004101161
19.2,0.7950854408749146
20.7,0.43100061170713344
19.5,0.663185771916422
20.6,0.4586193745232647
20.5,0.4651829002872211
19.8,0.5789884470534624
26.0,0.0038461538461538464
25.9,0.004
23.7,0.0908596837944664
23.6,0.1068840579710145
24.1,0.06305797101449276
23.8,0.08858695652173912
24.3,0.05472463768115941
23.9,0.07626811594202898
