Obj1,Obj2
26.6,0.1277974822112753
24.7,0.2721926818253655
25.1,0.22311529674723082
28.1,0.09679473144990387
24.6,0.29291058439034445
23.4,0.44134432314867106
28.9,0.06660728705027927
24.2,0.3108025550439343
27.4,0.1180999396516638
29.3,0.05507945024505909
24.0,0.36442405060096217
26.0,0.16655224707548547
26.5,0.14735531135531138
26.9,0.12654008954008952
28.2,0.09404754887513508
28.5,0.07838231245127798
25.7,0.17204371715241282
27.7,0.11213792594131859
24.3,0.2948289960913649
24.9,0.2389798534798535
27.6,0.1130114240803896
28.3,0.08972880824938667
31.1,0.05217058119637783
