Obj1,Obj2
23.4,0.13896574440052703
23.1,0.1702922077922078
24.6,0.036833333333333336
25.8,0.0
23.9,0.08082608695652173
24.6,0.036833333333333336
24.5,0.03716666666666667
24.2,0.05871014492753622
24.4,0.03804347826086956
23.7,0.09353002070393375
24.2,0.05871014492753622
22.4,0.29190780475563083
25.0,0.012166666666666668
22.8,0.20912298037584082
23.5,0.11342226613965745
24.0,0.07331620553359684
23.6,0.10769104084321476
24.8,0.020499999999999997
25.3,0.011846153846153848
22.7,0.22281197063805758
24.1,0.06439393939393939
24.6,0.036833333333333336
23.0,0.17966544325239978
24.3,0.0455
23.8,0.08632872200263506
25.6,0.0037037037037037034
25.5,0.004
24.7,0.02851282051282051
23.3,0.14005270092226613
22.9,0.18938923395445134
25.4,0.011692307692307693
22.5,0.23289384528514961
23.2,0.1513198757763975
25.2,0.012012820512820512
24.9,0.016666666666666666
