Obj1,Obj2
24.0,0.11367391304347825
24.8,0.04453846153846154
25.4,0.024012820512820516
25.6,0.020025641025641024
26.1,0.004166666666666667
23.9,0.15599371642849907
25.9,0.012333333333333332
25.0,0.024666666666666663
24.6,0.049891304347826085
23.8,0.19061716705194964
26.2,0.0
24.7,0.04554347826086956
24.5,0.06601282051282051
24.2,0.10008695652173911
24.8,0.04453846153846154
25.8,0.015396011396011397
24.9,0.040371794871794875
24.3,0.07200557413600892
24.1,0.10042028985507248
23.4,0.44134432314867106
