Obj1,Obj2
22.4,0.29617969825750146
26.7,0.045856665684251896
21.0,0.5018301541864606
22.8,0.2488149821193299
25.2,0.07721652421652422
27.0,0.04294375516956163
24.4,0.11804428341384862
24.9,0.11036448656013872
25.1,0.09353846153846153
22.1,0.3087986071899115
27.9,0.034125356125356124
21.2,0.4120655218609183
20.4,0.5495045740368125
21.1,0.4744856065996192
23.8,0.1760520421607378
22.9,0.24042631281761717
26.6,0.04824216524216524
22.0,0.34014756258234513
20.7,0.5074665913796349
22.5,0.29335196687370607
23.1,0.2277791415297136
26.1,0.051256410256410256
24.2,0.1359041248606466
24.8,0.11645144308187785
23.7,0.18824517511474032
21.4,0.39554317942418626
21.8,0.35626446784247295
23.0,0.23406060606060602
23.6,0.19540539170973953
23.2,0.21567638158942506
23.9,0.1509973649538867
22.6,0.27449840015057403
20.9,0.5042672293381675
23.4,0.19959732334789543
21.6,0.3673949026250817
25.7,0.06312678062678063
