Obj1,Obj2
19.0,0.777860828541943
19.6,0.6892448512585813
19.4,0.6985107376283847
19.2,0.7082085561497327
23.3,0.12537483530961793
23.0,0.16641963109354413
23.1,0.15377846790890268
23.6,0.10129710144927535
22.5,0.22510116694899301
22.8,0.18679183135704877
23.9,0.0769927536231884
22.6,0.1997256728778468
24.0,0.07159977703455965
23.2,0.1281600790513834
24.2,0.05816666666666666
23.8,0.08118840579710145
23.7,0.08685770750988142
24.6,0.03283333333333333
22.3,0.22673395445134575
23.4,0.1225790513833992
22.0,0.28082345191040836
21.7,0.3253670242800677
21.2,0.36313476378693776
19.8,0.5822816098216556
21.0,0.4024580390369864
20.8,0.4178718865675387
20.7,0.42369309307524416
20.4,0.47950956937799044
20.0,0.5754040894493849
21.6,0.3312361189535103
22.2,0.27087088274044796
21.5,0.33751275421755966
20.6,0.4606459738045416
22.1,0.27644598155467726
21.8,0.29795031055900617
19.7,0.590353245937443
21.1,0.39025008026926183
21.3,0.3488791147830049
20.1,0.5562122739325257
20.2,0.5158811802232854
21.4,0.34572414237173965
24.5,0.03716666666666667
24.4,0.03804347826086956
25.0,0.012166666666666668
23.5,0.11342226613965745
24.8,0.020499999999999997
24.1,0.06439393939393939
24.3,0.0455
24.7,0.02851282051282051
24.9,0.016666666666666666
25.4,0.004
25.5,0.0
25.4,0.004
25.2,0.004166666666666667
25.5,0.0
25.4,0.004
